DATE	TIME	Temp deg C	Turb NTU	SpCond mS/cm	Salinity PSU	HDO %Sat	HDO mg/l	pH units	ORP mV
17/05/2023	12:09:53	14.615	2.34	0.028	0.015	101.1	9.89	7.775	303
03/08/2023	08:22:31	25.17	2.38	59.55	39.85	101.1	7.52	8.14	220.48
									
									
									
									
