a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17
24/12/2023;09:18:58;16.075;2.56;0.0365;0.015;105.45;9.995;8.065;254.75;0.035;0.32;-24.85;0.13;2.5;36.95;13.6
23/12/2023;09:18:58;16.075;2.53;0.0365;0.015;105.45;9.995;8.065;254.75;0.035;0.32;-24.85;0.13;2.5;36.95;13.6
22/12/2023;09:18:58;16.075;2.52;0.0365;0.015;105.45;9.995;8.065;254.75;0.035;0.32;-24.85;0.13;2.5;36.95;13.6
21/12/2023;09:18:58;16.075;2.51;0.0365;0.015;105.45;9.995;8.065;254.75;0.035;0.32;-24.85;0.13;2.5;36.95;13.6
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
